/* CONJUNTOS */
param N_total := 21 ;

param nombre_instancia := "DRP_con_probs.dat";

/* PARAMETROS */
param P := 21 ;
param R := 10 ;
param c1 := 1 ;
param c2 := 0.2 ;

param : coordx coordy flag prob_ohca :=
1 77 4 0 0.18
2 12 21 0 0.74
3 72 27 1 0.95
4 27 57 0 0.87
5 85 20 0 0.78
6 13 79 0 0.81
7 60 81 0 0.97
8 26 23 0 0.86
9 60 23 0 0.2
10 78 43 0 0.71
11 29 50 1 0.73
12 18 65 0 0.48
13 92 64 0 0.3
14 26 41 0 0.19
15 60 13 0 0.91
16 40 92 0 0.2
17 63 64 0 0.46
18 63 64 0 0.12
19 63 64 0 0.44
20 63 64 0 0.42
21 63 64 0 0.35
;
