Entity_Name,Borough,borough_geom,borough_code,State,Latitude,Longitude,AED_NumAeds,Location Type,is_mislabeled
Davis Wright Tremaine LLP - Davis Wright Tremaine LLP_New York,Manhattan,MANHATTAN,1.0,New York,40.75963708,-73.98062674,2.0,Businesses & Commercial Spaces,False
"Walt Disney/ABC, Inc.",Manhattan,MANHATTAN,1.0,New York,40.77431062,-73.98103766,1.0,Businesses & Commercial Spaces,False
The Christa McAuliffe School\I.S. 187,Brooklyn,BROOKLYN,3.0,New York,40.62777703,-74.00448516,1.0,School,False
HCZ Promise Academy I - High School,Manhattan,MANHATTAN,1.0,New York,40.8118675,-73.94731465,1.0,School,False
Sentinel Real Estate Corp,Manhattan,MANHATTAN,1.0,New York,40.75963708,-73.98062674,1.0,Businesses & Commercial Spaces,False
P.S. 234 Queens,Queens,QUEENS,4.0,New York,40.76729837,-73.92324529,1.0,Public Schools,False
P721R - Richard H. Hungerford School (R086),Staten Island,STATEN ISLAND,5.0,New York,40.60874845,-74.10234414,1.0,School,False
High School of World Cultures,Bronx,BRONX,2.0,New York,40.83159438,-73.87891119,1.0,School,False
"Cowen Group, Inc",Manhattan,MANHATTAN,1.0,New York,40.76259829,-73.97845996,1.0,Businesses & Commercial Spaces,False
Richmond Condominium,Manhattan,MANHATTAN,1.0,New York,40.77482543,-73.95645343,1.0,Businesses & Commercial Spaces,False
P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,Manhattan,MANHATTAN,1.0,New York,40.82980867,-73.94474924,1.0,Public Schools,False
P.S. 059 The Community School of Technology,Bronx,BRONX,2.0,New York,40.85276803,-73.89352319,1.0,Public Schools,False
Practicing Law Institute,Manhattan,MANHATTAN,1.0,New York,40.76263186,-73.98214562,4.0,Businesses & Commercial Spaces,False
LEEP Dual Language Academy Charter School II,Brooklyn,BROOKLYN,3.0,New York,40.6438526,-74.01276689,1.0,School,False
Young Israel of Bedford Bay Senior Centers,Brooklyn,BROOKLYN,3.0,New York,40.6001186,-73.93988058,1.0,Senior Centers,False
P.S. 272 Curtis Estabrook,Brooklyn,BROOKLYN,3.0,New York,40.63590848,-73.88641236,1.0,Public Schools,False
"Icon Interiors, Inc.",Manhattan,MANHATTAN,1.0,New York,40.74686168,-73.99361567,1.0,Businesses & Commercial Spaces,False
Amber Charter School - East Harlem,Manhattan,MANHATTAN,1.0,New York,40.79123086,-73.94390742,1.0,School,False
Archer Hotel,Manhattan,MANHATTAN,1.0,New York,40.75159,-73.98421308,1.0,Businesses & Commercial Spaces,False
P.S. 153 Homecrest,Brooklyn,BROOKLYN,3.0,New York,40.60160951,-73.95977905,1.0,Public Schools,False
P.S. 030 Westerleigh,Staten Island,STATEN ISLAND,5.0,New York,40.61843116,-74.13264498,1.0,Public Schools,False
Williamsburg Elementary School,Brooklyn,BROOKLYN,3.0,New York,40.70724395,-73.94398558,1.0,School,False
Vedder Price - New York,Manhattan,MANHATTAN,1.0,New York,40.76156716,-73.98396163,3.0,Businesses & Commercial Spaces,False
New Visions Charter High School for Advanced Math and Science IV,Queens,QUEENS,4.0,New York,40.6756252,-73.78334193,1.0,School,False
SNAP of Eastern Queens,Queens,QUEENS,4.0,New York,40.73767696,-73.73402021,1.0,Senior Centers,False
Broome Street Academy Charter High School,Manhattan,MANHATTAN,1.0,New York,40.72389632,-74.00469008,1.0,School,False
Equinox,Manhattan,MANHATTAN,1.0,New York,40.72381947,-73.99548309,1.0,Health Clubs & Gyms,False
Cultivating Hearts and Minds Pre-K Center at 1222 Prospect Avenue (X493),Bronx,BRONX,2.0,New York,40.82695285,-73.8985764,1.0,Public Schools,False
Harlem Village Academy (132 West),Manhattan,MANHATTAN,1.0,New York,40.80754166,-73.94706523,1.0,School,False
P.S. 038 George Cromwell,Staten Island,STATEN ISLAND,5.0,New York,40.5747399,-74.09991965,1.0,Public Schools,False
JASA West Side Senior Centers,Manhattan,MANHATTAN,1.0,New York,40.78033476,-73.97773925,1.0,Senior Centers,False
P.S. 316 Elijah Stroud,Brooklyn,BROOKLYN,3.0,New York,40.67439306,-73.96025411,1.0,Public Schools,False
Morgan Stanley - CMP072 - 399 Park - New York NY 399 - Floor: 24,Manhattan,MANHATTAN,1.0,New York,40.75953381,-73.97224506,1.0,Businesses & Commercial Spaces,False
Brownsville Academy High School,Brooklyn,BROOKLYN,3.0,New York,40.666511,-73.92405741,1.0,School,False
P.S. 130 The Parkside,Brooklyn,BROOKLYN,3.0,New York,40.6488764,-73.97560666,1.0,Public Schools,False
P.S. 190 Sheffield,Brooklyn,BROOKLYN,3.0,New York,40.66231823,-73.89444111,1.0,Public Schools,False
New York Aquarium,Brooklyn,BROOKLYN,3.0,New York,40.57517621,-73.97579926,1.0,Zoos & Aquariums,False
Congregation Or Zarua,Manhattan,MANHATTAN,1.0,New York,40.7771316,-73.95798645,1.0,Houses of Worship,False
"Interpublic Group of Companies, Inc",Manhattan,MANHATTAN,1.0,New York,40.75873689,-73.96861769,1.0,Businesses & Commercial Spaces,False
Neighborhood Charter School: Harlem,Manhattan,MANHATTAN,1.0,New York,40.8234465,-73.9450436,1.0,School,False
Douglas Elliman [212W72],Manhattan,MANHATTAN,1.0,New York,40.77901813,-73.98262866,1.0,Businesses & Commercial Spaces,False
M.S. 255 Salk School of Science,Manhattan,MANHATTAN,1.0,New York,40.7357441,-73.98165489,1.0,Public Schools,False
NY Chinatown Senior Centers,Manhattan,MANHATTAN,1.0,New York,40.71608481,-73.99920278,1.0,Senior Centers,False
P.S. 082 Hammond,Queens,QUEENS,4.0,New York,40.70406467,-73.81177085,1.0,Public Schools,False
Kingsborough Community College,Brooklyn,BROOKLYN,3.0,New York,40.57848969,-73.9348999,1.0,Colleges & Universities,False
"Cowen Group, Inc",Manhattan,MANHATTAN,1.0,New York,40.75826818,-73.97105441,1.0,Businesses & Commercial Spaces,False
P.S. 071 Rose E. Scala,Bronx,BRONX,2.0,New York,40.84578011,-73.82982704,1.0,Public Schools,False
New Dorp Moravian Church,Staten Island,STATEN ISLAND,5.0,New York,40.57987037,-74.11411116,1.0,Houses of Worship,False
"Hartree Partners, LP",Manhattan,MANHATTAN,1.0,New York,40.75757876,-73.98212532,1.0,Businesses & Commercial Spaces,False
Deutsche Bank,Manhattan,MANHATTAN,1.0,New York,40.70590688,-74.00860938,63.0,Businesses & Commercial Spaces,False
"Anchin, Block & Anchin LLP",Manhattan,MANHATTAN,1.0,New York,40.7523205,-73.98746128,1.0,Businesses & Commercial Spaces,False
I.S. 145 Joseph Pulitzer,Queens,QUEENS,4.0,New York,40.7546536,-73.88711146,1.0,Public Schools,False
P.S. 3 Raul Julia Micro Society,Bronx,BRONX,2.0,New York,40.8498904,-73.892288,1.0,Public Schools,False
"Meredith Operations Corporation - Meredith Corporate Global Security - 225 Liberty St, New York",Manhattan,MANHATTAN,1.0,New York,40.71153017,-74.01567279,18.0,Businesses & Commercial Spaces,False
Morgan Stanley - 750 7th Avenue,Manhattan,MANHATTAN,1.0,New York,40.76074642,-73.98352505,1.0,Businesses & Commercial Spaces,False
P.S. 222 Katherine R. Snyder,Brooklyn,BROOKLYN,3.0,New York,40.61330951,-73.93887097,1.0,Public Schools,False
P.S./I.S. 113 Anthony J. Pranzo,Queens,QUEENS,4.0,New York,40.70550876,-73.86220735,1.0,Public Schools,False
P.S. 089 Elmhurst,Queens,QUEENS,4.0,New York,40.74591551,-73.88020434,1.0,Public Schools,False
Ft. Greene Albany Senior Centers,Brooklyn,BROOKLYN,3.0,New York,40.67387317,-73.93897387,1.0,Senior Centers,False
P.S. 034 Franklin D. Roosevelt,Manhattan,MANHATTAN,1.0,New York,40.72646558,-73.97518128,1.0,Public Schools,False
Taconic Mgmt Company LLC,Manhattan,MANHATTAN,1.0,New York,40.77566742,-73.98750381,1.0,Businesses & Commercial Spaces,False
"Walt Disney/ABC, Inc.",Manhattan,MANHATTAN,1.0,New York,40.77282549,-73.97973833,1.0,Businesses & Commercial Spaces,False
VAN ECK,Manhattan,MANHATTAN,1.0,New York,40.75104199,-73.97425173,4.0,Businesses & Commercial Spaces,False
Emblaze Academy Charter School,Bronx,BRONX,2.0,New York,40.82036689,-73.88828217,1.0,School,False
Brooklyn Prospect Charter - Windsor Terrace Middle School,Brooklyn,BROOKLYN,3.0,New York,40.69215499,-73.98561553,1.0,School,False
Department of Citywide Administrative Services,Queens,QUEENS,4.0,New York,40.71234936,-73.82629134,1.0,Government Buildings & Services,False
SIRIUS XM SATELITE RADIO,Manhattan,MANHATTAN,1.0,New York,40.75909387,-73.98213574,3.0,Businesses & Commercial Spaces,False
M.S. 319 - Maria Teresa,Manhattan,MANHATTAN,1.0,New York,40.83929827,-73.93615799,1.0,Public Schools,False
"Walt Disney/ABC, Inc.",Manhattan,MANHATTAN,1.0,New York,40.77383035,-73.98138801,1.0,Businesses & Commercial Spaces,False
New York French American Charter Middle School,Manhattan,MANHATTAN,1.0,New York,40.8094881,-73.94795955,1.0,School,False
All City Leadership Secondary School,Brooklyn,BROOKLYN,3.0,New York,40.69736279,-73.91317072,1.0,School,False
Bronx Preparatory Charter School,Bronx,BRONX,2.0,New York,40.83888331,-73.9006615,1.0,School,False
I.S. 125 Thom J. McCann Woodside,Queens,QUEENS,4.0,New York,40.74112412,-73.91894512,1.0,Public Schools,False
Herbert Smith Freehills NY LLP,Manhattan,MANHATTAN,1.0,New York,40.7530952,-73.9748537,1.0,Businesses & Commercial Spaces,False
Queens Academy High School (Flushing),Queens,QUEENS,4.0,New York,40.76515425,-73.82879922,1.0,School,False
P256Q @ St. Johns Residence for Boys (QBHF),Queens,QUEENS,4.0,New York,40.58068184,-73.83169671,1.0,Public Schools,False
LYFE Program @ Pathways to Graduation Downtown Brooklyn,Brooklyn,BROOKLYN,3.0,New York,40.69075022,-73.99096708,1.0,School,False
Williamsburg Charter High School,Brooklyn,BROOKLYN,3.0,New York,40.70368802,-73.93596737,1.0,School,False
P.S. 075 Emily Dickinson,Manhattan,MANHATTAN,1.0,New York,40.79514998,-73.97329197,1.0,Public Schools,False
Time Warner Cable,Brooklyn,QUEENS,4.0,New York,40.69668529,-73.81596784,1.0,Businesses & Commercial Spaces,True
MacAndrews & Forbes,Manhattan,MANHATTAN,1.0,New York,40.7659091,-73.96918829,15.0,Businesses & Commercial Spaces,False
J.H.S. 074 Nathaniel Hawthorne,Queens,QUEENS,4.0,New York,40.74519341,-73.76744486,1.0,Public Schools,False
Now Dental,Queens,QUEENS,4.0,New York,40.76016119,-73.83042205,1.0,Health & Social Services,False
P.S. 018 Edward Bush,Brooklyn,BROOKLYN,3.0,New York,40.71060223,-73.94697658,1.0,Public Schools,False
P.S. 006 West Farms,Bronx,BRONX,2.0,New York,40.84074825,-73.88170625,1.0,Public Schools,False
Travers Tool Co.,Queens,QUEENS,4.0,New York,40.77423162,-73.84053881,1.0,Businesses & Commercial Spaces,False
Morgan Stanley - 750 7th Avenue - Floor: 19,Manhattan,MANHATTAN,1.0,New York,40.76074642,-73.98352505,1.0,Businesses & Commercial Spaces,False
Academy For Personal Leadership and Excellence,Bronx,BRONX,2.0,New York,40.85974561,-73.90016025,1.0,Public Schools,False
Fannie Lou Hamer Freedom High School,Bronx,BRONX,2.0,New York,40.83086355,-73.88625894,1.0,Public Schools,False
A. Philip Randolph Campus High School,Manhattan,MANHATTAN,1.0,New York,40.81818176,-73.9503553,10.0,Public Schools,False
The Richmond Pre-K Center at 841 Father Capodanno Boulevard,Staten Island,STATEN ISLAND,5.0,New York,40.57548591,-74.08350968,1.0,Public Schools,False
It Takes a Village Academy,Brooklyn,BROOKLYN,3.0,New York,40.64864945,-73.92217147,1.0,School,False
P.S. 069 Jackson Heights,Queens,QUEENS,4.0,New York,40.74925906,-73.88881693,1.0,Public Schools,False
Columbia University - School of Nursing,Manhattan,MANHATTAN,1.0,New York,40.84079852,-73.93914542,1.0,School,False
Department of Citywide Administrative Services,Bronx,BRONX,2.0,New York,40.89073421,-73.85885973,1.0,Government Buildings & Services,False
Museum Tower,Manhattan,MANHATTAN,1.0,New York,40.76103081,-73.97728007,1.0,Businesses & Commercial Spaces,False
Wilson Major Morris Senior Centers,Manhattan,MANHATTAN,1.0,New York,40.82906399,-73.94299371,1.0,Senior Centers,False
P.S. 089 Bronx,Bronx,BRONX,2.0,New York,40.86304879,-73.85938509,1.0,Public Schools,False
M.S. 429 (Q429),Queens,QUEENS,4.0,New York,40.75000945,-73.91586647,1.0,Public Schools,False
Jack and Pearl Resnick Campus,Bronx,BRONX,2.0,New York,40.85117554,-73.84482139,1.0,School,False
Department of Citywide Administrative Services,Manhattan,MANHATTAN,1.0,New York,40.71299412,-74.0041807,1.0,Government Buildings & Services,False
I.S. 171 Abraham Lincoln,Brooklyn,BROOKLYN,3.0,New York,40.68617226,-73.86962475,1.0,Public Schools,False
Ezra Jack Keats Pre-K Center at 153-36 89th Ave (Q382),Queens,QUEENS,4.0,New York,40.7055093,-73.80250097,1.0,Public Schools,False
J.H.S. 050 John D. Wells,Brooklyn,BROOKLYN,3.0,New York,40.71169728,-73.96027507,1.0,Public Schools,False
Congregation Emanu-El,Manhattan,MANHATTAN,1.0,New York,40.76792123,-73.97003574,1.0,Houses of Worship,False
P.S. 055 Maure,Queens,QUEENS,4.0,New York,40.69399645,-73.81661718,1.0,Public Schools,False
The Museum of Modern Art,Manhattan,MANHATTAN,1.0,New York,40.76099511,-73.97720066,1.0,Museums,False
P.S. 132 Juan Pablo Duarte,Manhattan,MANHATTAN,1.0,New York,40.8506193,-73.9343759,1.0,Public Schools,False
P373R @ 1390 Richmond Terrace (R074),Staten Island,STATEN ISLAND,5.0,New York,40.64175355,-74.11491283,1.0,Public Schools,False
P.S. 098 Shorac Kappock,Manhattan,MANHATTAN,1.0,New York,40.86782032,-73.91705823,1.0,Public Schools,False
Dime Community Bank - Francis Lewis,Queens,QUEENS,4.0,New York,40.77506844,-73.79844142,1.0,Businesses & Commercial Spaces,False
CRG Management - 55 West 125th,Manhattan,MANHATTAN,1.0,New York,40.80726312,-73.94426953,1.0,Businesses & Commercial Spaces,False
The Global Learning Collaborative,Manhattan,MANHATTAN,1.0,New York,40.78579617,-73.9746138,1.0,Public Schools,False
P371K - Lillian Rashkis School (K371),Brooklyn,BROOKLYN,3.0,New York,40.65428607,-74.0058889,1.0,School,False
Jacob K. Javits Convention Center,Manhattan,MANHATTAN,1.0,New York,40.75655629,-74.00380806,1.0,Performance Venues,False
Morgan Stanley - 1585 Broadway,Manhattan,MANHATTAN,1.0,New York,40.76020869,-73.98533366,1.0,Businesses & Commercial Spaces,False
National Hockey League,Manhattan,MANHATTAN,1.0,New York,40.75757876,-73.98212532,1.0,Businesses & Commercial Spaces,False
Epic High School - North,Queens,QUEENS,4.0,New York,40.69299788,-73.82940712,1.0,Public Schools,False
"Osler, Hoskin & Harcourt LLP",Manhattan,MANHATTAN,1.0,New York,40.75603172,-73.99065138,1.0,Businesses & Commercial Spaces,False
Howard L. Zimmerman Architects PC,Manhattan,MANHATTAN,1.0,New York,40.74622160457,-73.98709792941,3.0,Businesses & Commercial Spaces,False
The Equity Project Charter School - Middle,Manhattan,MANHATTAN,1.0,New York,40.86463788,-73.92309274,1.0,School,False
The Richmond Pre-K Center at 104 Housman Ave,Staten Island,STATEN ISLAND,5.0,New York,40.63443554,-74.14867022,1.0,Public Schools,False
FNY Capital Management LP,Manhattan,MANHATTAN,1.0,New York,40.75049672,-73.97886451,1.0,Businesses & Commercial Spaces,False
Broadway Presbyterian Church,Manhattan,MANHATTAN,1.0,New York,40.80681571,-73.96510187,1.0,Houses of Worship,False
P.S. 199X - The Shakespeare School,Bronx,BRONX,2.0,New York,40.8429363,-73.92056265,1.0,Public Schools,False
Dime Community Bank,Brooklyn,BROOKLYN,3.0,New York,40.69519125,-73.99086911,2.0,Businesses & Commercial Spaces,False
Ralph R. McKee Career and Technical Education High School,Staten Island,STATEN ISLAND,5.0,New York,40.6425658,-74.07959065,1.0,Public Schools,False
Morgan Stanley - 1 NY Plaza,Manhattan,MANHATTAN,1.0,New York,40.70253319,-74.01256178,1.0,Businesses & Commercial Spaces,False
Department of Citywide Administrative Services,Manhattan,MANHATTAN,1.0,New York,40.71339484,-74.00463523,1.0,Government Buildings & Services,False
MacAndrews & Forbes,Manhattan,MANHATTAN,1.0,New York,40.76375936,-73.96705222,1.0,Businesses & Commercial Spaces,False
Community High School - Annex,Brooklyn,BROOKLYN,3.0,New York,40.69720829,-73.98705336,1.0,School,False
I.S. 141 The Steinway,Queens,QUEENS,4.0,New York,40.7755822,-73.90508898,1.0,Public Schools,False
High School for Health Professions and Human Services,Manhattan,MANHATTAN,1.0,New York,40.73243962,-73.98303053,1.0,School,False
P.S. 112 Jose Celso Barbosa,Manhattan,MANHATTAN,1.0,New York,40.79666116,-73.93096566,1.0,Public Schools,False
Success Academy Charter School - East Flatbush Middle School,Brooklyn,BROOKLYN,3.0,New York,40.64005885,-73.94725265,1.0,School,False
P.S. 158 Warwick,Brooklyn,BROOKLYN,3.0,New York,40.67257167,-73.88480315,1.0,Public Schools,False
Alfred E. Smith Career and Technical Education High School,Bronx,BRONX,2.0,New York,40.81822492,-73.91986607,1.0,School,False
The Blackstone Group,Manhattan,MANHATTAN,1.0,New York,40.75816441,-73.97324549,1.0,Businesses & Commercial Spaces,False
P.S. 048 William G. Wilcox,Staten Island,STATEN ISLAND,5.0,New York,40.60347686,-74.09123705,1.0,Public Schools,False
Holy Cross High School,Queens,QUEENS,4.0,New York,40.77115685,-73.79516789,1.0,School,False
CC Our Lady of Pompeii Senior Centers,Manhattan,MANHATTAN,1.0,New York,40.73017091,-74.00295503,1.0,Senior Centers,False
P.S. 209 Margaret Mead,Brooklyn,BROOKLYN,3.0,New York,40.58683781,-73.96198057,1.0,Public Schools,False
Trump Parc East Condominium,Manhattan,MANHATTAN,1.0,New York,40.76579556,-73.97656004,1.0,Businesses & Commercial Spaces,False
Edward A. Reynolds West Side High School,Manhattan,MANHATTAN,1.0,New York,40.79273391,-73.94742736,1.0,Public Schools,False
Queens Metropolitan High School,Queens,QUEENS,4.0,New York,40.71135936,-73.85669802,8.0,Public Schools,False
P751M - Manhattan School For Career Development (M751) (Please go in the morning),Manhattan,MANHATTAN,1.0,New York,40.72561951,-73.98806162,1.0,School,False
Gibney Dance,Manhattan,MANHATTAN,1.0,New York,40.71441034,-74.00608902,1.0,Businesses & Commercial Spaces,False
"The Empire State Building Company, LLC",Manhattan,MANHATTAN,1.0,New York,40.7482689007,-73.98469027358,1.0,Businesses & Commercial Spaces,False
PSS Andrew Jackson Senior Centers,Bronx,BRONX,2.0,New York,40.82143221,-73.91799424,1.0,Senior Centers,False
Columbia University - Northwest Corner Building,Manhattan,MANHATTAN,1.0,New York,40.80990759,-73.96060637,1.0,Colleges & Universities,False
League Treatment Center,Brooklyn,BROOKLYN,3.0,New York,40.68611108972,-73.95444912785,1.0,Health & Social Services,False
RXR Realty [237 Park Avenue],Manhattan,MANHATTAN,1.0,New York,40.75389681,-73.97551391,1.0,Businesses & Commercial Spaces,False
City View Racquet Club,Queens,QUEENS,4.0,New York,40.7459691,-73.93238257,1.0,Health Clubs & Gyms,False
International High School at Prospect Heights,Brooklyn,BROOKLYN,3.0,New York,40.67034226,-73.96169487,1.0,School,False
Brooklyn Prospect Charter Gowanus Middle,Brooklyn,BROOKLYN,3.0,New York,40.69732883,-73.98515641,1.0,Public Schools,False
P.S. 133 Fred R Moore,Manhattan,MANHATTAN,1.0,New York,40.8096653,-73.93987119,1.0,Public Schools,False
P.S. 193 Gil Hodges,Brooklyn,BROOKLYN,3.0,New York,40.62150007,-73.95047333,1.0,Public Schools,False
High School for Arts and Business,Queens,QUEENS,4.0,New York,40.73741924,-73.8531776,1.0,Public Schools,False
Brookfield Properties - Space++,Manhattan,MANHATTAN,1.0,New York,40.75227175,-73.99712339,1.0,Businesses & Commercial Spaces,False
P.S. 097 Bronx,Bronx,BRONX,2.0,New York,40.86319797,-73.84723721,1.0,Public Schools,False
The Port Authority of New York & New Jersey - 4 World Trade Center,Manhattan,MANHATTAN,1.0,New York,40.71002653,-74.01147027,24.0,Ferries & Other Transportation,False
League Treatment Center,Brooklyn,BROOKLYN,3.0,New York,40.68311587135,-73.96885893025,1.0,Health & Social Services,False
P.S. 007 Samuel Stern,Manhattan,MANHATTAN,1.0,New York,40.80099986,-73.9393481,1.0,Public Schools,False
Columbia University,Manhattan,MANHATTAN,1.0,New York,40.8413014,-73.9402798,1.0,Colleges & Universities,False
Channel View School For Research,Queens,QUEENS,4.0,New York,40.58605892,-73.82262478,1.0,Public Schools,False
JASA Scheuer House of Coney Island Senior Centers,Brooklyn,BROOKLYN,3.0,New York,40.57313664,-74.00158742,1.0,Senior Centers,False
FTI Consulting,Manhattan,MANHATTAN,1.0,New York,40.75699693,-73.98252614,1.0,Businesses & Commercial Spaces,False
Department of Citywide Administrative Services,Manhattan,MANHATTAN,1.0,New York,40.71299412,-74.0041807,1.0,Government Buildings & Services,False
Renaissance School Of The Arts,Manhattan,MANHATTAN,1.0,New York,40.79729558,-73.93636456,1.0,School,False
Brownsville Ascend Charter Lower School,Brooklyn,BROOKLYN,3.0,New York,40.66859294,-73.9181216,1.0,School,False
P.S. 130 Abram Stevens Hewitt,Bronx,BRONX,2.0,New York,40.81771463,-73.90242017,1.0,Public Schools,False
P.S. 97 The Highlawn,Brooklyn,BROOKLYN,3.0,New York,40.60142634,-73.98613931,1.0,Public Schools,False
Congregation Rodeph Sholom,Manhattan,MANHATTAN,1.0,New York,40.78350349,-73.97114089,1.0,Houses of Worship,False
