/* CONJUNTOS */
param N_total:= 150 ;

/* PARAMETROS */
param P:= 11 ;
param R:= 800 ;
param c1:= 1 ;
param c2:= 0.2 ;
param nombre_instancia:= "150-11.txt" ;

param : coordx coordy flag prob_ohca:=
1 409154 435528 0 0.65
2 409151 435683 0 1.0
3 409277 435420 0 0.15
4 409260 435538 0 0.95
5 409240 435695 0 0.69
6 409213 435897 0 0.21
7 409199 435982 0 0.56
8 409178 436078 0 0.43
9 409174 436171 0 0.9
10 409147 436256 0 0.91
11 409469 435389 0 0.83
12 409378 435463 0 0.27
13 409378 435563 0 0.86
14 409351 435734 0 0.38
15 409328 435891 0 0.31
16 409275 435982 0 0.99
17 409289 436065 0 0.38
18 409272 436188 0 0.26
19 409208 436263 0 0.45
20 409754 435326 0 0.42
21 409609 435201 0 0.73
22 409565 435307 0 0.11
23 409577 435510 0 0.67
24 409515 435614 0 0.18
25 409478 435707 0 0.12
26 409442 435810 0 0.48
27 409442 435913 0 0.92
28 409408 436075 0 0.98
29 409344 436201 0 0.53
30 409398 436213 0 0.62
31 409638 435143 0 0.56
32 409683 435349 0 0.91
33 409670 435514 0 0.57
34 409620 435615 0 0.38
35 409688 435618 0 0.23
36 409624 435752 0 0.98
37 409570 435942 0 0.35
38 409541 436090 0 0.91
39 409512 436236 0 0.11
40 409216 435826 0 0.71
41 409158 435820 0 0.66
42 408777 434870 0 0.44
43 408731 434657 0 0.42
44 408808 434639 0 0.41
45 408840 435022 0 0.29
46 408932 434976 0 0.23
47 408897 434650 0 0.28
48 409050 434674 0 0.51
49 409033 434769 0 0.24
50 408906 434723 0 0.49
51 409262 434873 0 0.76
52 409090 434982 0 0.95
53 409020 435056 0 0.76
54 409262 435017 0 0.63
55 409210 435093 0 0.55
56 409109 435153 0 0.82
57 409192 435244 0 0.88
58 409298 435127 0 0.84
59 409302 435225 0 0.73
60 409264 435295 0 0.2
61 409372 434355 0 0.69
62 409426 434622 0 0.79
63 409452 434831 0 0.15
64 409553 435074 0 0.18
65 409434 435030 0 0.86
66 409479 434592 0 0.62
67 409517 434818 0 0.17
68 409539 434954 0 0.71
69 409038 435235 0 0.14
70 409167 435416 0 0.79
71 408778 434739 0 0.27
72 409411 434362 0 0.89
73 409822 435466 0 0.88
74 409811 435545 0 0.27
75 409765 435617 0 0.66
76 409812 435857 0 0.37
77 409792 435978 0 0.28
78 409837 436155 0 0.91
79 409711 436281 0 0.96
80 409969 435509 0 0.5
81 409944 435714 0 0.25
82 410041 435866 0 0.71
83 409946 436015 0 0.85
84 410015 436193 0 0.33
85 410067 435592 0 0.65
86 410073 436039 0 0.15
87 410113 436329 0 0.87
88 410204 436314 0 0.18
89 409645 436119 0 0.2
90 410120 436189 0 0.11
91 409875 435755 0 0.7
92 410180 436398 0 0.12
93 410244 436276 0 0.27
94 410224 436222 0 0.37
95 409573 436533 0 0.1
96 409575 436677 0 0.99
97 409553 436813 0 0.66
98 409546 436882 0 0.45
99 409701 436391 0 0.16
100 409691 436539 0 0.85
101 409680 436697 0 0.59
102 409667 436825 0 0.6
103 409657 436892 0 0.91
104 409858 436418 0 0.58
105 409795 436554 0 0.5
106 409788 436708 0 0.78
107 409768 436873 0 0.74
108 409900 436600 0 0.27
109 409863 436728 0 0.83
110 409923 436735 0 0.77
111 409874 436894 0 0.26
112 410006 436607 0 0.29
113 410003 436738 0 0.14
114 410006 436804 0 0.41
115 409960 436901 0 0.37
116 410014 436903 0 0.71
117 409816 437011 0 0.51
118 409851 437111 0 0.41
119 409908 437121 0 0.91
120 409887 437205 0 0.2
121 410120 436627 0 0.76
122 410099 436799 0 0.45
123 410072 436904 0 0.59
124 410234 436518 0 0.73
125 410205 436634 0 0.46
126 410213 436728 0 0.77
127 410212 436795 0 0.38
128 410320 436562 0 0.48
129 410324 436701 0 0.99
130 410107 437014 0 0.16
131 410201 436904 0 0.18
132 410140 436494 0 0.2
133 409026 436332 0 0.17
134 408906 436537 0 0.51
135 408865 436634 0 0.36
136 408849 436707 0 0.82
137 408791 436841 0 0.68
138 409016 436511 0 0.6
139 408946 436666 0 0.13
140 408921 436738 0 0.75
141 408872 436787 0 0.31
142 408903 436834 0 0.33
143 409160 436346 0 0.76
144 409102 436513 0 0.1
145 409007 436747 0 0.71
146 408951 436887 0 0.84
147 409261 436338 0 0.43
148 409213 436540 0 0.57
149 409150 436607 0 0.17
150 409114 436740 0 0.78
;
